,Table Number,vendor,confirmed_neighbors,neighbor_success_rate,distance_penalty,best_fitness,VEND_NUMB,N_ONE,ONE_IS_CARER,ONE_SHARE_CARD_READER,N_TWO,TWO_IS_CARER,TWO_SHARE_CARD_READER,N_THREE,THREE_IS_CARER,THREE_SHARE_CARD_READER,DISTANCE_ONE,DISTANCE_TWO,DISTANCE_THREE,neighbour_one_confirmed,neighbour_two_confirmed,neighbour_three_confirmed,DISTANCE_ONE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_ONE,DISTANCE_TWO_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_TWO,DISTANCE_THREE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_THREE
73,74,Vendor147,"[0, 0, 0]",,,80.08618851834932,Vendor147,,,,,,,,,,,,,0,0,0,,0,,0,,0
74,75,Vendor27,"[0, 0, 0]",,,80.08618851834932,Vendor27,,,,,,,,,,,,,0,0,0,,0,,0,,0
75,76,Vendor99,"[0, 0, 0]",,,80.08618851834932,Vendor99,,,,,,,,,,,,,0,0,0,,0,,0,,0
76,77,Vendor37,"[0, 0, 0]",,,80.08618851834932,Vendor37,,,,,,,,,,,,,0,0,0,,0,,0,,0
77,78,Vendor21,"[0, 0, 0]",,,80.08618851834932,Vendor21,,,,,,,,,,,,,0,0,0,,0,,0,,0
78,79,Vendor61,"[0, 0, 0]",,,80.08618851834932,Vendor61,,,,,,,,,,,,,0,0,0,,0,,0,,0
79,80,Vendor199,"[0, 0, 0]",,,80.08618851834932,Vendor199,,,,,,,,,,,,,0,0,0,,0,,0,,0
80,81,Vendor192,"[0, 0, 0]",,,80.08618851834932,Vendor192,,,,,,,,,,,,,0,0,0,,0,,0,,0
81,82,Vendor54,"[0, 0, 0]",,,80.08618851834932,Vendor54,,,,,,,,,,,,,0,0,0,,0,,0,,0
82,83,Vendor188,"[0, 0, 0]",,,80.08618851834932,Vendor188,,,,,,,,,,,,,0,0,0,,0,,0,,0
83,84,Vendor8,"[0, 0, 0]",100.0,0.0,80.08618851834932,Vendor8,Vendor7,N,N,Vendor9,N,N,Vendor10,N,N,,,,0,0,0,,0,,0,,0
84,85,Vendor7,"[1, 0, 0]",50.0,0.0,80.08618851834932,Vendor7,Vendor8,N,N,Vendor6,N,N,Vendor3,N,Y,,,,1,0,0,,0,,0,,0
85,86,Vendor153,"[0, 0, 0]",,,80.08618851834932,Vendor153,,,,,,,,,,,,,0,0,0,,0,,0,,0
